nombre,latitud,longitud,administracion_zonal,parroquia,area_km2,densidad_puntos,nivel_necesidad
PARQUE DE LA FERROVIARIA BAJA,-0.254858,-78.5179439,ELOY ALFARO,LA FERROVIARIA,3.0,9.666666666666666,1
CANCHA ALBORADA DE MONJAS,-0.2275314,-78.4926441,MANUELA SAENZ,PUENGASI,15.0,3.2,3
PARQUE LA PLAYITA DE ZAMBIZA,-0.149997,-78.440278,EUGENIO ESPEJO,ZAMBIZA,18.0,0.9444444444444444,3
PARQUE DE LA JUVENTUD,-0.0993,-78.4535,CALDERON,CALDERON,30.0,4.566666666666666,2
LIGA BARRIAL COCHAPAMBA SUR,-0.1600057,-78.510159,EUGENIO ESPEJO,COCHAPAMBA,3.0,5.333333333333333,2
AVENIDA 12 DE OCTUBRE,-0.2086483,-78.491445,LA MARISCAL,MARISCAL SUCRE,2.8,10.714285714285715,1
TROLE LA INTERNACIONAL,-0.2660284,-78.5322217,ELOY ALFARO,SAN BARTOLO,4.0,8.25,1
ESTADIO CANGAHUA,-0.0872537,-78.5004899,LA DELICIA,EL CONDADO,15.0,3.7333333333333334,2
CASA DEL ADULTO MAYOR,-0.0082444,-78.4462102,LA DELICIA,SAN ANTONIO,80.0,0.3,4
PARQUE VICENTINA BAJO,-0.2161666,-78.486119,MANUELA SAENZ,ITCHIMBIA,8.0,6.625,1
FERROVIARIA,-0.2628403,-78.5146451,ELOY ALFARO,LA FERROVIARIA,3.0,9.666666666666666,1
PATRONATO SAN JOSE,-0.2518281,-78.5172098,ELOY ALFARO,LA FERROVIARIA,3.0,9.666666666666666,1
ECOVIA TEATRO MEXICO,-0.24055,-78.5114672,ELOY ALFARO,CHIMBACALLE,3.1,10.96774193548387,1
PARQUE OBRERO INDEPENDIENTE,-0.2444817,-78.489495,MANUELA SAENZ,PUENGASI,15.0,3.2,3
UNIDAD METROPOLITANA DE SALUD CENTRO,-0.220836,-78.518453,MANUELA SAENZ,CENTRO HISTORICO,3.5,17.428571428571427,1
CASA BARRIAL SANTA ISABEL,-0.322831,-78.532424,QUITUMBE,TURUBAMBA,6.0,9.0,1
PARQUE SPENCER,-0.2402258,-78.5118111,ELOY ALFARO,CHIMBACALLE,3.1,10.96774193548387,1
CANCHAS 23 DE MAYO,-0.2870897,-78.5596484,QUITUMBE,CHILLOGALLO,18.0,1.7222222222222223,3
TROLE BANCO CENTRAL,-0.2166578,-78.5050742,MANUELA SAENZ,CENTRO HISTORICO,3.5,17.428571428571427,1
ESTADIO JAIME ROLDOS AGUILERA,-0.0842772,-78.4657683,LA DELICIA,CARCELEN,7.5,2.933333333333333,3
CANCHAS DEL BARRIO BELLAVISTA,-0.2880498767,-78.3988647461,LOS CHILLOS,LA MERCED,1.5,7.333333333333333,1
UNIDAD EDUCATIVA PISULI,-0.089554,-78.5147063,LA DELICIA,EL CONDADO,15.0,3.7333333333333334,2
PARQUE PARA LA VIDA,-0.2101983,-78.3825731,TUMBACO,TUMBACO,57.0,0.47368421052631576,4
LIGA BARRIAL LA FORESTAL,-0.2582234,-78.5038316,ELOY ALFARO,LA FERROVIARIA,3.0,9.666666666666666,1
TROLE CONDORÑAN,-0.297536,-78.5498606,QUITUMBE,QUITUMBE,10.0,6.2,2
CANCHAS FERROVIARIA,-0.2544471,-78.5129668,ELOY ALFARO,LA FERROVIARIA,3.0,9.666666666666666,1
PARQUE DE LOS SKATEPARK,-0.2435364,-78.5161057,ELOY ALFARO,CHIMBACALLE,3.1,10.96774193548387,1
CASA COMUNAL BARRIO ISRAEL,-0.055472,-78.428948,CALDERON,CALDERON,30.0,4.566666666666666,2
LA OFELIA,-0.108829,-78.48492,LA DELICIA,PONCEANO,6.0,2.0,3
CASA BARRIAL NAZARETH,-0.121207,-78.483604,LA DELICIA,PONCEANO,6.0,2.0,3
PARQUE CARCELEN,-0.085165,-78.469869,LA DELICIA,CARCELEN,7.5,2.933333333333333,3
CANCHA SAN ENRIQUE DE VELASCO,-0.1028673,-78.51315,LA DELICIA,EL CONDADO,15.0,3.7333333333333334,2
CANCHA SANTA ANITA,0.0076769,-78.4688536,LA DELICIA,SAN ANTONIO,80.0,0.3,4
PARQUE JOSE LUIS RODRIGUEZ,-0.254987,-78.490485,MANUELA SAENZ,PUENGASI,15.0,3.2,3
PARQUE CIUDADELA EL COMERCIO,-0.2745117,-78.5431067,ELOY ALFARO,SOLANDA,4.5,6.888888888888889,1
UPC SANTA ANA,-0.2377908,-78.5204042,ELOY ALFARO,LA MAGDALENA,3.8,5.0,2
PARQUE MANZANA B4,-0.093012,-78.450055,CALDERON,CALDERON,30.0,4.566666666666666,2
DOLOROSA ALTA,-0.3403567,-78.5815815,QUITUMBE,GUAMANI,12.0,4.083333333333333,2
PARQUE GABRIEL GARCIA MORENO,-0.2151534,-78.5072175,MANUELA SAENZ,SAN JUAN,4.2,9.285714285714285,1
CANCHAS LUZ Y VIDA,-0.0734766,-78.4398219,CALDERON,CALDERON,30.0,4.566666666666666,2
YAKU MUSEO DEL AGUA,-0.2171997,-78.5189929,MANUELA SAENZ,SAN JUAN,4.2,9.285714285714285,1
CANCHA DE FUTBOL LA JOSEFINA,-0.078651,-78.472413,LA DELICIA,CARCELEN,7.5,2.933333333333333,3
