nombre,lat,lng,az,parroquia
LA PLAZUELA PINTAG,-0.3718,-78.3748, LOS CHILLOS,PINTAG
SENDERO SEGURO EL TINGO,-0.2866,-78.4406, LOS CHILLOS,ALANGASI
PARADA DE BUSES COCHAPAMBA,-0.1596,-78.5049, EUGENIO ESPEJO ,COCHAPAMBA
PARQUE DE LA FLORIDA,-0.1442,-78.4945, EUGENIO ESPEJO ,LA CONCEPCION
PARQUE DE LOS ARUPOS,-0.1463,-78.4966, EUGENIO ESPEJO ,LA CONCEPCION
CANCHA ATUCUCHO,-0.126441,-78.509495, EUGENIO ESPEJO ,COCHAPAMBA
ATUCUCHO,-0.128448,-78.51144, EUGENIO ESPEJO ,COCHAPAMBA
PARQUE AMAGASI DEL INCA,-0.1371,-78.4574, EUGENIO ESPEJO ,SAN ISIDRO DEL INCA
PARQUE SAN FRANCISCO DE TANDA,-0.1807,-78.4379, EUGENIO ESPEJO ,NAYON
PARQUE 6 DE JULIO,-0.127922,-78.462829, EUGENIO ESPEJO ,SAN ISIDRO DEL INCA
PARQUE TORTUGA,-0.1665,-78.4798, EUGENIO ESPEJO ,JIPIJAPA
CASA BARRIAL SANTA ANA,-0.1427,-78.5045, EUGENIO ESPEJO ,COCHAPAMBA
PARQUE COFAVI,-0.1326,-78.4849, EUGENIO ESPEJO ,KENNEDY
PARQUE DOLOROSA,-0.127474,-78.487923, EUGENIO ESPEJO ,KENNEDY
CENTRO DE SALUD LA RUMIÑAHUI,-0.1262,-78.4873, EUGENIO ESPEJO ,KENNEDY
CANCHA RUMIÑAHUI BAJA,-0.125,-78.4868, EUGENIO ESPEJO ,KENNEDY
PARQUE LA CAMPIÑA DEL INCA,-0.143181,-78.454578, EUGENIO ESPEJO ,SAN ISIDRO DEL INCA
PARQUE JARDINES DEL INCA,-0.1466,-78.4478, EUGENIO ESPEJO ,SAN ISIDRO DEL INCA
PARQUE EL TABLON,-0.1469,-78.4521, EUGENIO ESPEJO ,SAN ISIDRO DEL INCA
LIGA DEPORTIVA LA LUZ,-0.1479,-78.4774, EUGENIO ESPEJO ,KENNEDY
CASA COMUNAL LA ISLA,-0.1925,-78.5015,LA MARISCAL,BELISARIO QUEVEDO
PARQUE PAMBACHUPA,-0.193021,-78.50836,LA MARISCAL,BELISARIO QUEVEDO
PARQUE EL TRIGAL,-0.177967,-78.507714, EUGENIO ESPEJO ,RUMIPAMBA
UPC BELLAVISTA,-0.1873,-78.4734, EUGENIO ESPEJO ,IÑAQUITO
TROLE CUERO Y CAICEDO SUR,-0.191241,-78.493134, EUGENIO ESPEJO ,IÑAQUITO
TROLE MARIA DE JESUS NORTE,-0.188769,-78.492234,LA MARISCAL,BELISARIO QUEVEDO
TROLE EL FLORON NORTE,-0.185185,-78.490758, EUGENIO ESPEJO ,IÑAQUITO
TROLE LA Y SUR,-0.171,-78.4875, EUGENIO ESPEJO ,RUMIPAMBA
UPC WILSON,-0.2048,-78.4897,LA MARISCAL,MARISCAL SUCRE
PARQUE JACINTO JIJON Y CAAMAÑO,-0.23,-78.5086, MANUELA SAENZ,CENTRO HISTORICO
CANCHA EUGENIO ESPEJO,-0.2147,-78.5327, MANUELA SAENZ,SAN JUAN
LIGA BARRIAL EL AUQUI DE MONJAS,-0.2307,-78.4768, MANUELA SAENZ,PUENGASI
PARQUE MARIA GUADALUPE,-0.242773,-78.478472, MANUELA SAENZ,PUENGASI
PARQUE PALUCO,-0.22322,-78.489223, MANUELA SAENZ,PUENGASI
CANCHA LA GUADALUPANA,-0.219613,-78.482223, MANUELA SAENZ,ITCHIMBIA
CANCHA WAYCO,-0.219507,-78.486872, MANUELA SAENZ,ITCHIMBIA
PARQUE TOLA BAJA,-0.227264,-78.500917, MANUELA SAENZ,ITCHIMBIA
PARQUE EL PLACER,-0.2152,-78.5215, MANUELA SAENZ,SAN JUAN
CANCHA EUGENIO ESPEJO,-0.2147,-78.5199, MANUELA SAENZ,SAN JUAN
LIGA DEPORTIVA LA CHORRERA,-0.208683,-78.525752, MANUELA SAENZ,SAN JUAN
LIGA BARRIAL RODRIGO PAZ,-0.214,-78.532, MANUELA SAENZ,SAN JUAN
CANCHAS SANTA LUCIA,-0.23045,-78.529353, MANUELA SAENZ,LA LIBERTAD
CASA BARRIAL NUEVOS HORIZONTES,-0.319866,-78.570876,QUITUMBE,LA ECUATORIANA
LIGA BARRIAL ORQUIDEAS DEL SUR,-0.312611,-78.524139,QUITUMBE,QUITUMBE
MERCADO DE GUAMANI,-0.331292,-78.553104,QUITUMBE,GUAMANI
PARQUE CIUDADELA DEL EJERCITO,-0.3062,-78.5539,QUITUMBE,QUITUMBE
CANCHAS PUEBLO UNIDO ALTO,-0.300402,-78.529314,QUITUMBE,QUITUMBE
CANCHAS VIRGEN DEL QUINCHE,-0.303327,-78.53488,QUITUMBE,QUITUMBE
CANCHAS UNIDOS POR EL PROGRESO,-0.3039,-78.5415,QUITUMBE,QUITUMBE
CANCHAS DEFENSORES DEL TRABAJO MUNICIPAL,-0.297717,-78.571576,QUITUMBE,LA ECUATORIANA
PARQUE DE GUAMANI,-0.342664,-78.555823,QUITUMBE,GUAMANI
UPC PARQUE INDUSTRIAL,-0.3488,-78.5388,QUITUMBE,TURUBAMBA
LIGA DE DEPORTIVA COLINAS DEL SUR,-0.290539,-78.575271,QUITUMBE,CHILLOGALLO
CANCHA LIGA SANTA ANA DE CHILLOGALLO,-0.2801,-78.5614,QUITUMBE,CHILLOGALLO
PARQUE ALBORADA DE LA PAZ,-0.05665,-78.434055,CALDERON,CALDERON
PARQUE REINA DEL CISNE,-0.055786,-78.431316,CALDERON,CALDERON
PARQUE CENTINELA DE CALDERON,-0.070889,-78.429528,CALDERON,CALDERON
COLEGIO REPLICA MONTUFAR,-0.0686,-78.4516,CALDERON,CALDERON
SUBESTACION POMASQUI,-0.072639,-78.450306,CALDERON,CALDERON
CENTRO DE SALUD SAN JOSE DE MORAN,-0.081917,-78.438543,CALDERON,CALDERON
CANCHA ZABALA,-0.080473,-78.4138,CALDERON,CALDERON
CANCHAS CASA TUYA,-0.113709,-78.431957,CALDERON,CALDERON
